keyword_id,ranking_date,google_rank
5,2025-07-01,39
5,2025-08-01,36
5,2025-09-01,34
5,2025-10-01,32
5,2025-11-01,30
5,2025-12-01,29
6,2024-01-01,23
6,2024-02-01,20
6,2024-03-01,19
6,2024-04-01,16
6,2024-05-01,14
6,2024-06-01,11
6,2024-07-01,8
6,2024-08-01,8
6,2024-09-01,5
6,2024-10-01,2
6,2024-11-01,1
6,2024-12-01,1
6,2025-01-01,1
6,2025-02-01,1
6,2025-03-01,1
6,2025-04-01,1
6,2025-05-01,1
6,2025-06-01,1
6,2025-07-01,1
6,2025-08-01,1
6,2025-09-01,1
6,2025-10-01,1
6,2025-11-01,1
6,2025-12-01,1
7,2024-01-01,44
7,2024-02-01,42
7,2024-03-01,42
7,2024-04-01,40
7,2024-05-01,37
7,2024-06-01,36
7,2024-07-01,36
7,2024-08-01,33
7,2024-09-01,32
7,2024-10-01,31
7,2024-11-01,30
7,2024-12-01,27
7,2025-01-01,24
7,2025-02-01,22
7,2025-03-01,21
7,2025-04-01,20
7,2025-05-01,19
7,2025-06-01,17
7,2025-07-01,16
7,2025-08-01,13
7,2025-09-01,12
7,2025-10-01,12
7,2025-11-01,9
7,2025-12-01,7
8,2024-01-01,58
8,2024-02-01,56
8,2024-03-01,53
8,2024-04-01,51
8,2024-05-01,49
8,2024-06-01,47
8,2024-07-01,45
8,2024-08-01,44
8,2024-09-01,43
8,2024-10-01,42
8,2024-11-01,41
8,2024-12-01,41
8,2025-01-01,40
8,2025-02-01,38
8,2025-03-01,37
8,2025-04-01,36
8,2025-05-01,33
8,2025-06-01,31
8,2025-07-01,30
8,2025-08-01,29
8,2025-09-01,28
8,2025-10-01,28
8,2025-11-01,27
8,2025-12-01,24
9,2024-01-01,20
9,2024-02-01,19
9,2024-03-01,18
9,2024-04-01,17
9,2024-05-01,15
9,2024-06-01,13
9,2024-07-01,13
9,2024-08-01,10
9,2024-09-01,10
9,2024-10-01,7
9,2024-11-01,7
9,2024-12-01,5
9,2025-01-01,5
9,2025-02-01,2
9,2025-03-01,1
9,2025-04-01,1
9,2025-05-01,1
9,2025-06-01,1
9,2025-07-01,1
9,2025-08-01,1
9,2025-09-01,1
9,2025-10-01,1
9,2025-11-01,1
9,2025-12-01,1
10,2024-01-01,50
10,2024-02-01,50
10,2024-03-01,48
10,2024-04-01,48
10,2024-05-01,46
10,2024-06-01,46
10,2024-07-01,43
10,2024-08-01,42
10,2024-09-01,39
10,2024-10-01,36
10,2024-11-01,34
10,2024-12-01,32
10,2025-01-01,30
10,2025-02-01,27
10,2025-03-01,27
10,2025-04-01,27
10,2025-05-01,24
10,2025-06-01,21
10,2025-07-01,20
10,2025-08-01,18
10,2025-09-01,16
10,2025-10-01,13
10,2025-11-01,10
10,2025-12-01,10
11,2024-01-01,59
11,2024-02-01,56
11,2024-03-01,55
11,2024-04-01,54
11,2024-05-01,54
11,2024-06-01,52
11,2024-07-01,51
11,2024-08-01,51
11,2024-09-01,48
11,2024-10-01,45
11,2024-11-01,45
11,2024-12-01,43
11,2025-01-01,43
11,2025-02-01,43
11,2025-03-01,42
11,2025-04-01,42
11,2025-05-01,42
11,2025-06-01,39
11,2025-07-01,38
11,2025-08-01,35
11,2025-09-01,32
11,2025-10-01,30
11,2025-11-01,28
11,2025-12-01,27
12,2024-01-01,39
12,2024-02-01,37
12,2024-03-01,35
12,2024-04-01,33
12,2024-05-01,31
12,2024-06-01,28
12,2024-07-01,27
12,2024-08-01,24
12,2024-09-01,21
12,2024-10-01,21
12,2024-11-01,18
12,2024-12-01,16
12,2025-01-01,14
12,2025-02-01,14
12,2025-03-01,14
12,2025-04-01,14
12,2025-05-01,14
12,2025-06-01,14
12,2025-07-01,11
12,2025-08-01,11
12,2025-09-01,8
12,2025-10-01,7
12,2025-11-01,7
12,2025-12-01,7
13,2024-01-01,58
13,2024-02-01,55
13,2024-03-01,52
13,2024-04-01,52
13,2024-05-01,50
13,2024-06-01,48
13,2024-07-01,45
13,2024-08-01,45
13,2024-09-01,44
13,2024-10-01,42
13,2024-11-01,41
13,2024-12-01,39
13,2025-01-01,39
13,2025-02-01,36
13,2025-03-01,35
13,2025-04-01,34
13,2025-05-01,31
13,2025-06-01,30
13,2025-07-01,28
13,2025-08-01,25
13,2025-09-01,23
13,2025-10-01,21
13,2025-11-01,21
13,2025-12-01,19
14,2024-01-01,63
14,2024-02-01,62
14,2024-03-01,62
14,2024-04-01,60
14,2024-05-01,57
14,2024-06-01,54
14,2024-07-01,54
14,2024-08-01,53
14,2024-09-01,52
14,2024-10-01,49
14,2024-11-01,49
14,2024-12-01,46
14,2025-01-01,44
14,2025-02-01,42
14,2025-03-01,42
14,2025-04-01,42
14,2025-05-01,40
14,2025-06-01,39
14,2025-07-01,39
14,2025-08-01,37
14,2025-09-01,35
14,2025-10-01,34
14,2025-11-01,33
14,2025-12-01,32
15,2024-01-01,18
15,2024-02-01,17
15,2024-03-01,14
15,2024-04-01,14
15,2024-05-01,12
15,2024-06-01,9
15,2024-07-01,9
15,2024-08-01,9
15,2024-09-01,6
15,2024-10-01,6
15,2024-11-01,6
15,2024-12-01,3
15,2025-01-01,3
15,2025-02-01,2
15,2025-03-01,1
15,2025-04-01,1
15,2025-05-01,1
15,2025-06-01,1
15,2025-07-01,1
15,2025-08-01,1
15,2025-09-01,1
15,2025-10-01,1
15,2025-11-01,1
15,2025-12-01,1
16,2024-01-01,68
16,2024-02-01,65
16,2024-03-01,64
16,2024-04-01,62
16,2024-05-01,61
16,2024-06-01,59
16,2024-07-01,56
16,2024-08-01,53
16,2024-09-01,52
16,2024-10-01,50
16,2024-11-01,50
16,2024-12-01,47
16,2025-01-01,46
16,2025-02-01,45
16,2025-03-01,43
16,2025-04-01,42
16,2025-05-01,39
16,2025-06-01,38
16,2025-07-01,37
16,2025-08-01,37
16,2025-09-01,37
16,2025-10-01,34
16,2025-11-01,32
16,2025-12-01,32
17,2024-01-01,71
17,2024-02-01,71
17,2024-03-01,69
17,2024-04-01,69
17,2024-05-01,66
17,2024-06-01,63
17,2024-07-01,63
17,2024-08-01,61
17,2024-09-01,60
17,2024-10-01,59
17,2024-11-01,59
17,2024-12-01,57
17,2025-01-01,56
17,2025-02-01,53
17,2025-03-01,51
17,2025-04-01,50
17,2025-05-01,48
17,2025-06-01,48
17,2025-07-01,46
17,2025-08-01,45
17,2025-09-01,45
17,2025-10-01,43
17,2025-11-01,40
17,2025-12-01,39
18,2024-01-01,70
18,2024-02-01,67
18,2024-03-01,66
18,2024-04-01,63
18,2024-05-01,61
18,2024-06-01,59
18,2024-07-01,59
18,2024-08-01,56
18,2024-09-01,56
18,2024-10-01,55
18,2024-11-01,55
18,2024-12-01,54
18,2025-01-01,52
18,2025-02-01,50
18,2025-03-01,47
18,2025-04-01,46
18,2025-05-01,44
18,2025-06-01,41
18,2025-07-01,38
18,2025-08-01,38
18,2025-09-01,35
18,2025-10-01,33
18,2025-11-01,33
18,2025-12-01,32
19,2024-01-01,75
19,2024-02-01,73
19,2024-03-01,73
19,2024-04-01,73
19,2024-05-01,71
19,2024-06-01,69
19,2024-07-01,68
19,2024-08-01,67
19,2024-09-01,66
19,2024-10-01,64
19,2024-11-01,61
19,2024-12-01,59
19,2025-01-01,57
19,2025-02-01,56
19,2025-03-01,54
19,2025-04-01,54
19,2025-05-01,52
19,2025-06-01,50
19,2025-07-01,48
19,2025-08-01,46
19,2025-09-01,43
19,2025-10-01,41
19,2025-11-01,41
19,2025-12-01,41
20,2024-01-01,61
20,2024-02-01,58
20,2024-03-01,56
20,2024-04-01,54
20,2024-05-01,52
20,2024-06-01,51
20,2024-07-01,50
20,2024-08-01,49
20,2024-09-01,46
20,2024-10-01,46
20,2024-11-01,43
20,2024-12-01,42
20,2025-01-01,42
20,2025-02-01,42
20,2025-03-01,41
20,2025-04-01,40
20,2025-05-01,37
20,2025-06-01,36
20,2025-07-01,36
20,2025-08-01,34
20,2025-09-01,33
20,2025-10-01,32
20,2025-11-01,29
20,2025-12-01,26
21,2024-01-01,73
21,2024-02-01,73
21,2024-03-01,71
21,2024-04-01,70
21,2024-05-01,67
21,2024-06-01,67
21,2024-07-01,65
21,2024-08-01,64
21,2024-09-01,64
21,2024-10-01,63
21,2024-11-01,62
21,2024-12-01,62
21,2025-01-01,62
21,2025-02-01,62
21,2025-03-01,61
21,2025-04-01,60
21,2025-05-01,58
21,2025-06-01,55
21,2025-07-01,54
21,2025-08-01,51
21,2025-09-01,51
21,2025-10-01,50
21,2025-11-01,48
21,2025-12-01,46
22,2024-01-01,35
22,2024-02-01,32
22,2024-03-01,32
22,2024-04-01,30
22,2024-05-01,27
22,2024-06-01,25
22,2024-07-01,23
22,2024-08-01,23
22,2024-09-01,20
22,2024-10-01,17
22,2024-11-01,15
22,2024-12-01,13
22,2025-01-01,13
22,2025-02-01,12
22,2025-03-01,11
22,2025-04-01,9
22,2025-05-01,8
22,2025-06-01,7
22,2025-07-01,6
22,2025-08-01,5
22,2025-09-01,3
22,2025-10-01,2
22,2025-11-01,1
22,2025-12-01,1
23,2024-01-01,27
23,2024-02-01,24
23,2024-03-01,24
23,2024-04-01,24
23,2024-05-01,22
23,2024-06-01,19
23,2024-07-01,18
23,2024-08-01,18
23,2024-09-01,15
23,2024-10-01,13
23,2024-11-01,12
23,2024-12-01,10
23,2025-01-01,10
23,2025-02-01,7
23,2025-03-01,4
23,2025-04-01,1
23,2025-05-01,1
23,2025-06-01,1
23,2025-07-01,1
23,2025-08-01,1
23,2025-09-01,1
23,2025-10-01,1
23,2025-11-01,1
23,2025-12-01,1
24,2024-01-01,26
24,2024-02-01,25
24,2024-03-01,24
24,2024-04-01,23
24,2024-05-01,23
24,2024-06-01,22
24,2024-07-01,19
24,2024-08-01,16
24,2024-09-01,13
24,2024-10-01,13
24,2024-11-01,12
24,2024-12-01,12
24,2025-01-01,11
24,2025-02-01,9
24,2025-03-01,7
24,2025-04-01,7
24,2025-05-01,4
24,2025-06-01,4
24,2025-07-01,1
24,2025-08-01,1
24,2025-09-01,1
24,2025-10-01,1
24,2025-11-01,1
24,2025-12-01,1
25,2024-01-01,33
25,2024-02-01,33
25,2024-03-01,33
25,2024-04-01,33
25,2024-05-01,33
25,2024-06-01,31
25,2024-07-01,29
25,2024-08-01,26
25,2024-09-01,26
25,2024-10-01,25
25,2024-11-01,25
25,2024-12-01,23
25,2025-01-01,23
25,2025-02-01,21
25,2025-03-01,18
25,2025-04-01,15
25,2025-05-01,12
25,2025-06-01,10
25,2025-07-01,10
25,2025-08-01,10
25,2025-09-01,9
25,2025-10-01,7
25,2025-11-01,6
25,2025-12-01,3
26,2024-01-01,58
26,2024-02-01,57
26,2024-03-01,56
26,2024-04-01,55
26,2024-05-01,55
26,2024-06-01,55
26,2024-07-01,55
26,2024-08-01,53
26,2024-09-01,53
26,2024-10-01,51
26,2024-11-01,50
26,2024-12-01,49
26,2025-01-01,46
26,2025-02-01,46
26,2025-03-01,45
26,2025-04-01,45
26,2025-05-01,43
26,2025-06-01,42
26,2025-07-01,42
26,2025-08-01,41
26,2025-09-01,40
26,2025-10-01,40
26,2025-11-01,39
26,2025-12-01,38
27,2024-01-01,76
27,2024-02-01,74
27,2024-03-01,73
27,2024-04-01,70
27,2024-05-01,69
27,2024-06-01,69
27,2024-07-01,66
27,2024-08-01,64
27,2024-09-01,61
27,2024-10-01,58
27,2024-11-01,55
27,2024-12-01,55
27,2025-01-01,55
27,2025-02-01,55
27,2025-03-01,53
27,2025-04-01,53
27,2025-05-01,53
27,2025-06-01,50
27,2025-07-01,50
27,2025-08-01,49
27,2025-09-01,49
27,2025-10-01,47
27,2025-11-01,45
27,2025-12-01,44
28,2024-01-01,72
28,2024-02-01,69
28,2024-03-01,68
28,2024-04-01,65
28,2024-05-01,62
28,2024-06-01,62
28,2024-07-01,61
28,2024-08-01,61
28,2024-09-01,61
28,2024-10-01,58
28,2024-11-01,56
28,2024-12-01,55
28,2025-01-01,53
28,2025-02-01,50
28,2025-03-01,47
28,2025-04-01,44
28,2025-05-01,41
28,2025-06-01,38
28,2025-07-01,35
28,2025-08-01,33
28,2025-09-01,33
28,2025-10-01,31
28,2025-11-01,30
28,2025-12-01,28
29,2024-01-01,33
29,2024-02-01,33
29,2024-03-01,32
29,2024-04-01,30
29,2024-05-01,30
29,2024-06-01,28
29,2024-07-01,27
29,2024-08-01,25
29,2024-09-01,22
29,2024-10-01,20
29,2024-11-01,20
29,2024-12-01,18
29,2025-01-01,18
29,2025-02-01,17
29,2025-03-01,15
29,2025-04-01,14
29,2025-05-01,13
29,2025-06-01,11
29,2025-07-01,11
29,2025-08-01,10
29,2025-09-01,9
29,2025-10-01,7
29,2025-11-01,5
29,2025-12-01,3
30,2024-01-01,56
30,2024-02-01,53
30,2024-03-01,51
30,2024-04-01,51
30,2024-05-01,50
30,2024-06-01,50
30,2024-07-01,50
30,2024-08-01,47
30,2024-09-01,45
30,2024-10-01,44
30,2024-11-01,44
30,2024-12-01,42
30,2025-01-01,40
30,2025-02-01,37
30,2025-03-01,34
30,2025-04-01,31
30,2025-05-01,30
30,2025-06-01,30
30,2025-07-01,27
30,2025-08-01,24
30,2025-09-01,21
30,2025-10-01,21
30,2025-11-01,21
30,2025-12-01,18
31,2024-01-01,73
31,2024-02-01,70
31,2024-03-01,69
31,2024-04-01,68
31,2024-05-01,65
31,2024-06-01,65
31,2024-07-01,63
31,2024-08-01,63
31,2024-09-01,60
31,2024-10-01,59
31,2024-11-01,57
31,2024-12-01,57
31,2025-01-01,57
31,2025-02-01,54
31,2025-03-01,52
31,2025-04-01,51
31,2025-05-01,48
31,2025-06-01,46
31,2025-07-01,46
31,2025-08-01,43
31,2025-09-01,43
31,2025-10-01,43
31,2025-11-01,40
31,2025-12-01,37
32,2024-01-01,20
32,2024-02-01,17
32,2024-03-01,17
32,2024-04-01,16
32,2024-05-01,15
32,2024-06-01,12
32,2024-07-01,12
32,2024-08-01,11
32,2024-09-01,10
32,2024-10-01,9
32,2024-11-01,9
32,2024-12-01,6
32,2025-01-01,3
32,2025-02-01,1
32,2025-03-01,1
32,2025-04-01,1
32,2025-05-01,1
32,2025-06-01,1
32,2025-07-01,1
32,2025-08-01,1
32,2025-09-01,1
32,2025-10-01,1
32,2025-11-01,1
32,2025-12-01,1
33,2024-01-01,48
33,2024-02-01,48
33,2024-03-01,46
33,2024-04-01,45
33,2024-05-01,45
33,2024-06-01,45
33,2024-07-01,44
33,2024-08-01,41
33,2024-09-01,38
33,2024-10-01,37
33,2024-11-01,36
33,2024-12-01,34
33,2025-01-01,34
33,2025-02-01,32
33,2025-03-01,31
33,2025-04-01,29
33,2025-05-01,28
33,2025-06-01,26
33,2025-07-01,24
33,2025-08-01,21
33,2025-09-01,20
33,2025-10-01,18
33,2025-11-01,18
33,2025-12-01,16
34,2024-01-01,78
34,2024-02-01,77
34,2024-03-01,74
34,2024-04-01,71
34,2024-05-01,68
34,2024-06-01,68
34,2024-07-01,66
34,2024-08-01,65
34,2024-09-01,63
34,2024-10-01,60
34,2024-11-01,58
34,2024-12-01,58
34,2025-01-01,58
34,2025-02-01,57
34,2025-03-01,56
34,2025-04-01,53
34,2025-05-01,52
34,2025-06-01,50
34,2025-07-01,50
34,2025-08-01,50
34,2025-09-01,50
34,2025-10-01,49
34,2025-11-01,49
34,2025-12-01,49
35,2024-01-01,49
35,2024-02-01,46
35,2024-03-01,45
35,2024-04-01,45
35,2024-05-01,44
35,2024-06-01,44
35,2024-07-01,44
35,2024-08-01,44
35,2024-09-01,43
35,2024-10-01,42
35,2024-11-01,42
35,2024-12-01,40
35,2025-01-01,39
35,2025-02-01,36
35,2025-03-01,35
35,2025-04-01,35
35,2025-05-01,33
35,2025-06-01,33
35,2025-07-01,30
35,2025-08-01,29
35,2025-09-01,28
35,2025-10-01,28
35,2025-11-01,28
35,2025-12-01,25
36,2024-01-01,55
36,2024-02-01,53
36,2024-03-01,52
36,2024-04-01,50
36,2024-05-01,48
36,2024-06-01,47
36,2024-07-01,46
36,2024-08-01,45
36,2024-09-01,42
36,2024-10-01,41
36,2024-11-01,41
36,2024-12-01,40
36,2025-01-01,39
36,2025-02-01,38
36,2025-03-01,36
36,2025-04-01,33
36,2025-05-01,32
36,2025-06-01,29
36,2025-07-01,29
36,2025-08-01,29
36,2025-09-01,28
36,2025-10-01,28
36,2025-11-01,25
36,2025-12-01,23
37,2024-01-01,33
37,2024-02-01,30
37,2024-03-01,27
37,2024-04-01,27
37,2024-05-01,24
37,2024-06-01,21
37,2024-07-01,20
37,2024-08-01,17
37,2024-09-01,17
37,2024-10-01,16
37,2024-11-01,16
37,2024-12-01,14
37,2025-01-01,14
37,2025-02-01,14
37,2025-03-01,13
37,2025-04-01,10
37,2025-05-01,10
37,2025-06-01,9
37,2025-07-01,7
37,2025-08-01,6
37,2025-09-01,5
37,2025-10-01,2
37,2025-11-01,2
37,2025-12-01,1
38,2024-01-01,45
38,2024-02-01,45
38,2024-03-01,44
38,2024-04-01,44
38,2024-05-01,43
38,2024-06-01,42
38,2024-07-01,41
38,2024-08-01,39
38,2024-09-01,38
38,2024-10-01,35
38,2024-11-01,35
38,2024-12-01,33
38,2025-01-01,33
38,2025-02-01,31
38,2025-03-01,28
38,2025-04-01,26
38,2025-05-01,24
38,2025-06-01,22
38,2025-07-01,22
38,2025-08-01,21
38,2025-09-01,21
38,2025-10-01,20
38,2025-11-01,20
38,2025-12-01,17
39,2024-01-01,47
39,2024-02-01,45
39,2024-03-01,44
39,2024-04-01,41
39,2024-05-01,40
39,2024-06-01,40
39,2024-07-01,39
39,2024-08-01,39
39,2024-09-01,38
39,2024-10-01,37
39,2024-11-01,34
39,2024-12-01,33
39,2025-01-01,30
39,2025-02-01,27
39,2025-03-01,25
39,2025-04-01,23
39,2025-05-01,23
39,2025-06-01,22
39,2025-07-01,22
39,2025-08-01,21
39,2025-09-01,19
39,2025-10-01,17
39,2025-11-01,16
39,2025-12-01,15
40,2024-01-01,72
40,2024-02-01,72
40,2024-03-01,70
40,2024-04-01,69
40,2024-05-01,69
40,2024-06-01,68
40,2024-07-01,65
40,2024-08-01,65
40,2024-09-01,64
40,2024-10-01,62
40,2024-11-01,59
40,2024-12-01,58
40,2025-01-01,58
40,2025-02-01,57
40,2025-03-01,54
40,2025-04-01,54
40,2025-05-01,51
40,2025-06-01,50
40,2025-07-01,48
40,2025-08-01,46
40,2025-09-01,45
40,2025-10-01,44
40,2025-11-01,43
40,2025-12-01,43
41,2024-01-01,52
41,2024-02-01,49
41,2024-03-01,48
41,2024-04-01,45
41,2024-05-01,44
41,2024-06-01,44
41,2024-07-01,42
41,2024-08-01,41
41,2024-09-01,40
41,2024-10-01,38
41,2024-11-01,36
41,2024-12-01,36
41,2025-01-01,33
41,2025-02-01,32
41,2025-03-01,29
41,2025-04-01,28
41,2025-05-01,28
41,2025-06-01,26
41,2025-07-01,26
41,2025-08-01,24
41,2025-09-01,21
41,2025-10-01,18
41,2025-11-01,18
41,2025-12-01,16
42,2024-01-01,22
42,2024-02-01,20
42,2024-03-01,17
42,2024-04-01,14
42,2024-05-01,12
42,2024-06-01,10
42,2024-07-01,8
42,2024-08-01,5
42,2024-09-01,2
42,2024-10-01,1
42,2024-11-01,1
42,2024-12-01,1
42,2025-01-01,1
42,2025-02-01,1
42,2025-03-01,1
42,2025-04-01,1
42,2025-05-01,1
42,2025-06-01,1
42,2025-07-01,1
42,2025-08-01,1
42,2025-09-01,1
42,2025-10-01,1
42,2025-11-01,1
42,2025-12-01,1
43,2024-01-01,50
43,2024-02-01,47
43,2024-03-01,45
43,2024-04-01,43
43,2024-05-01,42
43,2024-06-01,39
43,2024-07-01,36
43,2024-08-01,33
43,2024-09-01,33
43,2024-10-01,32
43,2024-11-01,29
43,2024-12-01,29
43,2025-01-01,29
43,2025-02-01,29
43,2025-03-01,28
43,2025-04-01,28
43,2025-05-01,27
43,2025-06-01,25
43,2025-07-01,25
43,2025-08-01,22
43,2025-09-01,22
43,2025-10-01,20
43,2025-11-01,18
43,2025-12-01,18
44,2024-01-01,61
44,2024-02-01,60
44,2024-03-01,60
44,2024-04-01,59
44,2024-05-01,58
44,2024-06-01,55
44,2024-07-01,55
44,2024-08-01,53
44,2024-09-01,53
44,2024-10-01,52
44,2024-11-01,49
44,2024-12-01,49
44,2025-01-01,49
44,2025-02-01,48
44,2025-03-01,47
44,2025-04-01,47
44,2025-05-01,46
44,2025-06-01,45
44,2025-07-01,44
44,2025-08-01,43
44,2025-09-01,42
44,2025-10-01,39
44,2025-11-01,38
44,2025-12-01,36
45,2024-01-01,57
45,2024-02-01,54
45,2024-03-01,53
45,2024-04-01,53
45,2024-05-01,51
45,2024-06-01,50
45,2024-07-01,50
45,2024-08-01,49
45,2024-09-01,48
45,2024-10-01,47
45,2024-11-01,46
45,2024-12-01,45
45,2025-01-01,44
45,2025-02-01,43
45,2025-03-01,41
45,2025-04-01,38
45,2025-05-01,36
45,2025-06-01,35
45,2025-07-01,34
45,2025-08-01,32
45,2025-09-01,30
45,2025-10-01,27
45,2025-11-01,25
45,2025-12-01,22
46,2024-01-01,69
46,2024-02-01,69
46,2024-03-01,69
46,2024-04-01,69
46,2024-05-01,68
46,2024-06-01,68
46,2024-07-01,66
46,2024-08-01,64
46,2024-09-01,64
46,2024-10-01,62
46,2024-11-01,59
46,2024-12-01,58
46,2025-01-01,58
46,2025-02-01,58
46,2025-03-01,57
46,2025-04-01,55
46,2025-05-01,54
46,2025-06-01,53
46,2025-07-01,51
46,2025-08-01,50
46,2025-09-01,48
46,2025-10-01,46
46,2025-11-01,45
46,2025-12-01,42
47,2024-01-01,77
47,2024-02-01,75
47,2024-03-01,72
47,2024-04-01,69
47,2024-05-01,69
47,2024-06-01,67
47,2024-07-01,65
47,2024-08-01,64
47,2024-09-01,62
47,2024-10-01,62
47,2024-11-01,59
47,2024-12-01,56
47,2025-01-01,56
47,2025-02-01,54
47,2025-03-01,52
47,2025-04-01,52
47,2025-05-01,51
47,2025-06-01,48
47,2025-07-01,48
47,2025-08-01,48
47,2025-09-01,46
47,2025-10-01,43
47,2025-11-01,41
47,2025-12-01,41
48,2024-01-01,34
48,2024-02-01,34
48,2024-03-01,34
48,2024-04-01,33
48,2024-05-01,33
48,2024-06-01,33
48,2024-07-01,30
48,2024-08-01,27
48,2024-09-01,24
48,2024-10-01,22
48,2024-11-01,21
48,2024-12-01,18
48,2025-01-01,16
48,2025-02-01,14
48,2025-03-01,13
48,2025-04-01,12
48,2025-05-01,12
48,2025-06-01,10
48,2025-07-01,7
48,2025-08-01,6
48,2025-09-01,4
48,2025-10-01,1
48,2025-11-01,1
48,2025-12-01,1
49,2024-01-01,58
49,2024-02-01,55
49,2024-03-01,54
49,2024-04-01,54
49,2024-05-01,51
49,2024-06-01,48
49,2024-07-01,45
49,2024-08-01,43
49,2024-09-01,42
49,2024-10-01,39
49,2024-11-01,37
49,2024-12-01,36
49,2025-01-01,35
49,2025-02-01,33
49,2025-03-01,31
49,2025-04-01,28
49,2025-05-01,27
49,2025-06-01,27
49,2025-07-01,25
49,2025-08-01,24
49,2025-09-01,23
49,2025-10-01,20
49,2025-11-01,20
49,2025-12-01,17
50,2024-01-01,20
50,2024-02-01,18
50,2024-03-01,17
50,2024-04-01,16
50,2024-05-01,15
50,2024-06-01,15
50,2024-07-01,14
50,2024-08-01,12
50,2024-09-01,12
50,2024-10-01,12
50,2024-11-01,12
50,2024-12-01,12
50,2025-01-01,10
50,2025-02-01,9
50,2025-03-01,7
50,2025-04-01,6
50,2025-05-01,4
50,2025-06-01,1
50,2025-07-01,1
50,2025-08-01,1
50,2025-09-01,1
50,2025-10-01,1
50,2025-11-01,1
50,2025-12-01,1
51,2024-01-01,75
51,2024-02-01,74
51,2024-03-01,71
51,2024-04-01,69
51,2024-05-01,66
51,2024-06-01,64
51,2024-07-01,61
51,2024-08-01,60
51,2024-09-01,57
51,2024-10-01,56
51,2024-11-01,55
51,2024-12-01,53
51,2025-01-01,52
51,2025-02-01,52
51,2025-03-01,52
51,2025-04-01,52
51,2025-05-01,50
51,2025-06-01,50
51,2025-07-01,48
51,2025-08-01,46
51,2025-09-01,46
51,2025-10-01,45
51,2025-11-01,42
51,2025-12-01,40
52,2024-01-01,50
52,2024-02-01,49
52,2024-03-01,48
52,2024-04-01,48
52,2024-05-01,46
52,2024-06-01,43
52,2024-07-01,40
52,2024-08-01,38
52,2024-09-01,36
52,2024-10-01,34
52,2024-11-01,34
52,2024-12-01,33
52,2025-01-01,30
52,2025-02-01,30
52,2025-03-01,28
52,2025-04-01,26
52,2025-05-01,25
52,2025-06-01,23
52,2025-07-01,23
52,2025-08-01,23
52,2025-09-01,22
52,2025-10-01,22
52,2025-11-01,19
52,2025-12-01,19
53,2024-01-01,40
53,2024-02-01,37
53,2024-03-01,35
53,2024-04-01,35
53,2024-05-01,34
53,2024-06-01,31
53,2024-07-01,30
53,2024-08-01,30
53,2024-09-01,29
53,2024-10-01,29
53,2024-11-01,26
53,2024-12-01,25
53,2025-01-01,24
53,2025-02-01,24
53,2025-03-01,24
53,2025-04-01,22
53,2025-05-01,22
53,2025-06-01,22
53,2025-07-01,20
53,2025-08-01,20
53,2025-09-01,20
